"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.202";"Угроза несанкционированной установки приложений на мобильные устройства";"Мобильные устройства (аппаратное устройство, программное обеспечение)";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Android-среда запуска приложений и виртуальная машина мобильного устройства";"Вредоносное ПО запускает виртуальную машину и устанавливает в ней приложения без разрешения.";"";"Рассматривается Android-платформа с возможностью запуска виртуальной машины; внедрена программа, способная запустить эту машину и устанавливать в нее приложения.";"Угроза заключается в возможности установки приложений на виртуальные машины мобильных устройств, работающих под управлением операционной системы Android, несанкционированно запущенных внедренной вредоносной программой. Вредоносная программа запускает виртуальную машину на мобильном устройстве, размещает (устанавливает) в этой виртуальной машине неограниченное количество приложений.
Данная угроза обусловлена недостаточностью мер по контролю за запуском прикладного программного обеспечения, что позволяет выполнить неконтролируемый запуск вредоносного прикладного программного обеспечения по факту совершения пользователем различных действий в системе (например, при попытке закрытия пользователем нежелательной рекламы).
Реализация данной угрозы возможна при условии наличия на мобильном устройстве вредоносной программы, способной запустить виртуальную машину и установить в эту виртуальную машину приложение";"Внешний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2017-06-07 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 204"
"УБИ.205";"Угроза нарушения работы компьютера и блокирования доступа к его данным из-за некорректной работы установленных на нем средств защиты";"Аппаратное устройство, программное обеспечение";"Для отдельных классов ПО";"Защитное ПО";"";"Программная функция блокирования файлов средством защиты";"Ошибочное решение защитной программы блокирует файлы и доступ к данным.";"";"Установленное защитное ПО реализует блокирование файлов и может ошибочно блокировать нужные программе или пользователю файлы.";"Угроза заключается в возможности нарушения работы компьютера и отказа в доступе к его данным за счет ошибочного блокирования средством защиты информации файлов.
Реализация данной угрозы обусловлена тем, что на компьютере установлено средство защиты информации, реализующее функцию блокирования файлов";"Внешний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2017-09-01 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 207"
"УБИ.208";"Угроза нецелевого использования вычислительных ресурсов средства вычислительной техники";"Средство вычислительной техники, мобильное устройство";"Для отдельных классов ПО";"Системное ПО";"";"Программная среда исполнения и механизмы ограничения запуска программ";"Источник связывает запуск сторонних вычислений с недостаточным ограничением программной среды и антивирусной защитой. Применимость ограничена ПО, которое отвечает за эти функции.";"";"Анализируется ОС, среда исполнения или защитное ПО, контролирующее установку и запуск программ. Недостаточность контроля позволяет выполнить сторонний вычислительный код; само наличие майнера на устройстве не делает угрозу применимой к любому установленному приложению.";"Угроза заключается в возможности использования вычислительных ресурсов средств вычислительной техники для осуществления сторонних вычислительных процессов.
Угроза реализуется за счет внедрения в средства вычислительной техники вредоносной программы, содержащей код, реализующий использования вычислительных ресурсов для своих нужд (в частности, для майнинга криптовалюты).
Данная угроза обусловлена недостаточностью следующих мер защиты информации:
мер по антивирусной защите, что позволяет выполнить установку и запуск вредоносной программы;
мер по ограничению программной среды, что позволяют нарушителю осуществлять бесконтрольный запуск программных компонентов.";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом; Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"0";"0";"1";"Опубликована";"2018-04-10 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 210"
"УБИ.210";"Угроза нарушения работы информационной системы, вызванного обновлением используемого в ней программного обеспечения";"Аппаратное устройство, микропрограммное, системное и прикладное программное обеспечение";"Для отдельных классов ПО";"Поставка и обновления";"";"Устанавливаемые обновления системного ПО и зависящие от него программные компоненты";"Некорректное обновление нарушает работу непосредственно программных элементов.";"";"Анализируется обновляемое системное ПО либо программный продукт, работа которого зависит от него. Устанавливаемый патч системного компонента содержит ошибки или нарушает совместимость, что вызывает отказ программных компонентов.";"Угроза заключается в возможном нарушении функционирования программных, программно-аппаратных элементов информационной системы или информационной системы в целом из-за некорректной работы установленных обновлений (патчей) системного программного обеспечения.
Угроза обусловлена наличием критических ошибок, дефектов, уязвимостей в используемом программном обеспечении информационной системы.
Реализация данной угрозы возможна при условии установки обновлений на программно-аппаратные компоненты информационной системы";"Внутренний нарушитель с высоким потенциалом";"0";"1";"1";"Опубликована";"2018-11-19 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 212"
"УБИ.211";"Угроза использования непроверенных пользовательских данных при формировании конфигурационного файла, используемого программным обеспечением администрирования информационных систем";"Системное программное обеспечение";"Для отдельных классов ПО";"Системное ПО";"";"Генератор конфигурации и ПО администрирования";"Непроверенные пользовательские данные попадают в конфигурацию и изменяют поведение административного ПО.";"";"ПО администрирования принимает конфигурационные файлы, сформированные на основе пользовательского ввода без достаточной проверки.";"Угроза заключается в возможности деструктивного воздействия на информационную систему и обрабатываемую ею информацию в результате работы программного обеспечения, используемого для администрирования информационных систем.
Данная угроза связана со слабостями процедуры проверки пользовательских данных, используемых при формировании конфигурационного файла для программного обеспечения администрирования информационных систем.
Реализация данной угрозы возможна в случае, если в информационной системе используется программное обеспечение администрирования информационных систем, которое в качестве исходных данных использует конфигурационные файлы, сформированные на основе пользовательских данных";"Внутренний нарушитель с низким потенциалом";"1";"1";"0";"Опубликована";"2018-11-19 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 213"
"УБИ.212";"Угроза перехвата управления информационной системой";"Инфраструктура информационных систем";"Для отдельных классов ПО";"Системное ПО";"";"Программные средства централизованного управления и их интерфейсы";"Средства управления подменяются через доступные программные интерфейсы; это прямой сценарий для административного ПО.";"";"Продукт реализует централизованное управление системой или компонентами; нарушитель может взаимодействовать с его интерфейсами, а разграничение доступа недостаточно.";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к информационным, программным и вычислительным ресурсам информационной системы в результате подмены средств централизованного управления информационной системой или её компонентами.
Данная угроза обусловлена наличием у средств централизованного управления программных интерфейсов взаимодействия с другими субъектами доступа (процессами, программами) и, как следствие, возможностью несанкционированного доступа к данным средствам централизованного управления, а также недостаточностью мер по разграничению доступа к ним.
Реализация данной угрозы возможна при условии наличия у нарушителя прав на осуществление взаимодействия со средствами централизованного управления";"Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2018-11-19 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 214"
"УБИ.213";"Угроза обхода многофакторной аутентификации";"Системное программное обеспечение, микропрограммное обеспечение, учетные данные пользователя";"Прямая";"Доступ и учетные данные";"";"Программные компоненты многофакторной аутентификации";"Внедрение кода в компоненты MFA позволяет обойти проверку дополнительных факторов.";"";"ПО использует многофакторную аутентификацию; вредоносный код может попасть в участвующие компоненты через недоверенные файлы или установку программ пользователем.";"Угроза заключается в возможности обхода многофакторной аутентификации путем внедрения вредоносного кода в дискредитируемую систему и компоненты, участвующие в процедуре многофакторной аутентификации.
Данная угроза обусловлена:
наличием уязвимостей программного обеспечения;
слабостями мер антивирусной защиты и разграничения доступа.
Реализация данной угрозы возможна:
в случае работы дискредитируемого пользователя с файлами, поступающими из недоверенных источников;
при наличии у него привилегий установки программного обеспечения";"Внешний нарушитель с высоким потенциалом";"1";"1";"1";"Опубликована";"2018-11-19 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 215"
"УБИ.214";"Угроза несвоевременного выявления и реагирования компонентами информационной (автоматизированной) системы (в том числе средствами защиты информации) на события безопасности информации";"Программное обеспечение, каналы связи (передачи) данных";"Для отдельных классов ПО";"Защитное ПО";"";"Регистрация, мониторинг и обработка событий безопасности";"Отсутствие или неверная настройка программной регистрации и анализа приводит к пропуску событий и запоздалой реакции.";"";"ПО отвечает за регистрацию, обнаружение или обработку событий безопасности; соответствующие механизмы отсутствуют либо настроены некорректно.";"Угроза заключается в пропуске и/или значительной временной задержке определения (выявления) событий безопасности информации, что приводит к отсутствию реакции на попытки несанкционированного доступа в информационную (автоматизированную) систему, на внедрение вредоносных программ.
Данная угроза обусловлена некорректной настройкой компонентов информационной (автоматизированной) системы и/или средств защиты информации, а также отсутствием таких компонентов и/или средств защиты информации.
Реализация данной угрозы возможна при отсутствии мер защиты, связанных с мониторингом, сбором и анализом данных о событиях информационной безопасности (отсутствием мер регистрации событий безопасности)";"Внутренний нарушитель со средним потенциалом";"0";"1";"1";"Опубликована";"2019-11-15 00:00:00";"2019-11-15 00:00:00";"";"thrlist.xlsx · Sheet · строка 216"
"УБИ.215";"Угроза несанкционированного доступа к системе при помощи сторонних сервисов";"Программное обеспечение (программы)";"Прямая";"Веб и сетевые сервисы";"";"Скомпрометированный программный компонент и его взаимодействие со сторонними сервисами";"Легитимные внешние сервисы используются для дальнейшего деструктивного программного воздействия.";"";"Программная среда уже скомпрометирована и может обращаться к сторонним сервисам, используемым нарушителем как посредники.";"Угроза заключается в возможности осуществления нарушителем деструктивного программного воздействия на дискредитируемую систему с использованием сторонних легитимных сервисов (социальных сетей, мессенджеров, репозиториев кода и т.п.), используемых в качестве посредника.
Реализация данной угрозы возможна если дискредитируемая система уже скомпрометирована.";"Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2019-11-15 00:00:00";"2019-11-15 00:00:00";"";"thrlist.xlsx · Sheet · строка 217"
"УБИ.216";"Угроза получения несанкционированного доступа к приложениям, установленным на Smart-картах";"Программное обеспечение (программы)";"Для отдельных классов ПО";"Код и выполнение";"";"Приложения, устанавливаемые на Java Card";"Специальные команды эксплуатируют уязвимости именно приложений Smart-карты.";"";"ПО представляет собой приложение на Smart-карте Java Card и доступно для специально сформированных команд управления.";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к приложениям, установленным на Smart-картах путем отправки специально сформированных команд управления (например, специально сформированных SMS-сообщений, отправленных на SIM-карту).
Данная угроза обусловлена наличием уязвимостей в приложениях, устанавливаемых на Smart-карты.
Реализация данной угрозы возможна при использовании Smart-карт типа Java Card";"Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2019-11-15 00:00:00";"2019-11-15 00:00:00";"";"thrlist.xlsx · Sheet · строка 218"
"УБИ.217";"Угроза использования скомпрометированного доверенного источника обновлений программного обеспечения";"Информационная система, файлы";"Прямая";"Поставка и обновления";"";"Канал получения обновлений и обновляемые программные файлы";"Компрометация доверенного источника поставляет вредоносный код через обновления.";"";"ПО получает обновления с доверенного сервера, который скомпрометирован нарушителем.";"Угроза заключается в возможности внедрения вредоносного кода в информационную систему за счет использования скомпрометированных доверенных источников обновлений программного обеспечения.
Реализация данной угрозы возможна при использовании скомпрометированных доверенных серверов обновлений программного обеспечения";"Внутренний нарушитель со средним потенциалом; Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2020-02-11 00:00:00";"2020-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 219"
"УБИ.218";"Угроза раскрытия информации о модели машинного обучения";"Программное обеспечение (программы), использующее машинное обучение; модели машинного обучения";"Для отдельных классов ПО";"Машинное обучение";"";"Модель машинного обучения и сведения о ней";"Недостаточное разграничение доступа раскрывает используемую программой модель.";"";"ПО использует машинное обучение; нарушитель имеет непосредственный доступ к модели при недостаточном разграничении доступа.";"Угроза заключается в возможности раскрытия нарушителем информации о модели машинного обучения, используемой в информационной (автоматизированной) системе.
Данная угроза обусловлена слабостями разграничения доступа в информационных (автоматизированных) системах, использующих машинное обучение.
Реализация данной угрозы возможна при наличии у нарушителя непосредственного доступа к модели машинного обучения";"Внешний нарушитель с высоким потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Архивная";"2020-12-15 00:00:00";"2025-12-19 00:00:00";"Сведения об угрозе утратили свою актуальность в связи с опубликованием нового подраздела банка данных угроз ""Угрозы безопасности информации систем искусственного интеллекта"" (https://bdu.fstec.ru/threat/ai)";"thrlist.xlsx · Sheet · строка 220"
"УБИ.219";"Угроза хищения обучающих данных";"Программное обеспечение (программы), использующее машинное обучение; обучающие данные машинного обучения";"Для отдельных классов ПО";"Машинное обучение";"";"Обучающие данные машинного обучения";"Неправомерный доступ позволяет похитить наборы данных, используемые для обучения.";"";"ПО использует обучающие данные; нарушитель имеет непосредственный доступ к ним при недостаточном разграничении доступа.";"Угроза заключается в возможности хищения нарушителем обучающих данных, используемых в информационной (автоматизированной) системе, реализующей технологии искусственного интеллекта.
Данная угроза обусловлена слабостями разграничения доступа к обучающим данным, используемым в информационной (автоматизированной) системе.
Реализация данной угрозы возможна при наличии у нарушителя непосредственного доступа к обучающим данным";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Архивная";"2020-12-15 00:00:00";"2025-12-19 00:00:00";"Сведения об угрозе утратили свою актуальность в связи с опубликованием нового подраздела банка данных угроз ""Угрозы безопасности информации систем искусственного интеллекта"" (https://bdu.fstec.ru/threat/ai)";"thrlist.xlsx · Sheet · строка 221"
"УБИ.220";"Угроза нарушения функционирования («обхода») средств, реализующих технологии искусственного интеллекта";"Программное обеспечение (программы), реализующие технологии искусственного интеллекта";"Для отдельных классов ПО";"Машинное обучение";"";"Модель машинного обучения и функции ПО на ее основе";"Недостатки модели и обучающей выборки позволяют нарушить или обойти функции ИИ.";"";"ПО реализует функции искусственного интеллекта, а в обучающей выборке отсутствуют необходимые данные либо модель содержит недостатки.";"Угроза заключается в возможности нарушения функционирования («обхода») нарушителем средств, реализующих технологии искусственного интеллекта.
Данная угроза обусловлена следующими причинами:
- отсутствие в обучающей выборке необходимых данных;
- наличием недостатков модели машинного обучения;";"Внешний нарушитель с высоким потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Архивная";"2020-12-15 00:00:00";"2025-12-19 00:00:00";"Сведения об угрозе утратили свою актуальность в связи с опубликованием нового подраздела банка данных угроз ""Угрозы безопасности информации систем искусственного интеллекта"" (https://bdu.fstec.ru/threat/ai)";"thrlist.xlsx · Sheet · строка 222"
"УБИ.221";"Угроза модификации модели машинного обучения путем искажения («отравления») обучающих данных";"Программное обеспечение (программы), использующее машинное обучение; модели машинного обучения; обучающие данные машинного обучения";"Для отдельных классов ПО";"Машинное обучение";"";"Процесс обучения, обучающие данные и модель";"Воздействие на обучение через искаженные данные изменяет поведение модели.";"";"ПО обучает или дообучает модель; нарушитель может воздействовать на процесс обучения при недостатках его реализации или алгоритмов.";"Угроза заключается в возможности модификации (искажения) модели машинного обучения, используемой в информационной (автоматизированной) системе, реализующей технологии искусственного интеллекта.
Данная угроза обусловлена:
- недостатками реализации процесса машинного обучения;
- недостатками устройства алгоритмов машинного обучения.
Реализация данной угрозы возможна при наличии у нарушителя возможности воздействовать на процесс машинного обучения";"Внешний нарушитель с высоким потенциалом; Внутренний нарушитель со средним потенциалом";"0";"1";"0";"Архивная";"2020-12-15 00:00:00";"2025-12-19 00:00:00";"Сведения об угрозе утратили свою актуальность в связи с опубликованием нового подраздела банка данных угроз ""Угрозы безопасности информации систем искусственного интеллекта"" (https://bdu.fstec.ru/threat/ai)";"thrlist.xlsx · Sheet · строка 223"
"УБИ.222";"Угроза подмены модели машинного обучения";"Программное обеспечение (программы), использующее машинное обучение; модели машинного обучения";"Для отдельных классов ПО";"Машинное обучение";"";"Хранимая или загружаемая модель машинного обучения";"Недостаточное разграничение доступа позволяет подменить используемую ПО модель.";"";"ПО использует машинное обучение; нарушитель имеет непосредственный доступ к модели, достаточный для ее подмены.";"Угроза заключается в возможности подмены нарушителем модели машинного обучения, используемой в информационной (автоматизированной) системе, реализующей технологии искусственного интеллекта.
Данная угроза обусловлена слабостями разграничения доступа в информационных (автоматизированных) системах, использующих машинное обучение.
Реализация данной угрозы возможна при наличии у нарушителя непосредственного доступа к модели машинного обучения";"Внутренний нарушитель с высоким потенциалом";"1";"1";"0";"Архивная";"2020-12-15 00:00:00";"2025-12-19 00:00:00";"Сведения об угрозе утратили свою актуальность в связи с опубликованием нового подраздела банка данных угроз ""Угрозы безопасности информации систем искусственного интеллекта"" (https://bdu.fstec.ru/threat/ai)";"thrlist.xlsx · Sheet · строка 224"
"УБИ.223";"Угроза несанкционированного доступа к контейнерам, предоставляющего пользователям расширенные привилегии";"Docker-контейнер";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Привилегированный Docker-контейнер";"Доступ к контейнеру с повышенными привилегиями дает расширенные программные права.";"";"ПО запускается в Docker-контейнере с повышенными привилегиями; нарушитель имеет доступ к контейнеру и права для работы с ним.";"Угроза заключается в возможности осуществления нарушителем деструктивного программного воздействия путем получения повышенных привилегий при несанкционированном использовании docker-контейнера.
Данная угроза обусловлена наличием у docker-контейнеров повышенных привилегий для работы в системе.
Реализация данной угрозы возможна при условии наличия у нарушителя доступа к docker-контейнеру и привилегий, достаточных для работы с ним";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2025-06-04 00:00:00";"2025-06-04 00:00:00";"";"thrlist.xlsx · Sheet · строка 225"
"УБИ.224";"Угроза нарушения целостности (подмены) контейнеров";"Информационная система, сетевой узел, носитель информации, объекты файловой системы, учетные данные пользователя, образ docker-контейнера";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Docker-контейнер и обеспечивающая его изоляцию программная среда";"Уязвимости контейнерного ПО позволяют подменить среду и скомпрометировать контейнер вместе с защитными средствами.";"";"ПО использует Docker; уязвимости среды контейнеризации и описанные в источнике слабости аппаратной поддержки позволяют запуск воздействующего контейнера.";"Угроза заключается в возможности запуска нарушителем собственного docker-контейнера, функционирующего по уровню логического воздействия ниже компрометируемого docker-контейнера.
Данная угроза обусловлена уязвимостями программного обеспечения docker-контейнера, реализующего функцию изолированной программной среды для функционирующих в ней программ, а также слабостями инструкций аппаратной поддержки контейнеризации на уровне процессора.
Реализация данной угрозы приводит не только к компрометации docker-контейнера, но и запущенных в созданной им среде средств защиты";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2025-06-04 00:00:00";"2025-06-04 00:00:00";"";"thrlist.xlsx · Sheet · строка 226"
"УБИ.225";"Угроза нарушения изоляции контейнеров";"Сервер, рабочая станция, docker-контейнер, машинный носитель информации, метаданные";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Служба контейнеризации, код и настройки Docker-контейнеров";"Уязвимости программной изоляции позволяют изменить код и настройки своего или чужих контейнеров.";"";"ПО использует Docker; нарушитель или вредоносная программа получили несанкционированный доступ к контейнеру и могут эксплуатировать уязвимость службы контейнеризации.";"Угроза заключается в возможности нарушения целостности изолированного программного кода своего и (или) других docker-контейнеров, а также параметров его (их) настроек.
Данная угроза обусловлена наличием уязвимостей программного кода службы контейнеризации, обеспечиваемого изолированность программной среды и защиты от несанкционированного доступа со стороны нарушителя.
Реализация данной угрозы возможна при условии осуществления успешно реализованного несанкционированного доступа со стороны нарушителя и (или) вредоносной программы к docker-контейнеру.";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2025-06-04 00:00:00";"2025-06-04 00:00:00";"";"thrlist.xlsx · Sheet · строка 227"
"УБИ.226";"Угроза внедрения вредоносного программного обеспечения в контейнеры";"Docker-контейнер";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Программное содержимое Docker-контейнера";"Преодоление границ контейнера через уязвимую службу позволяет внедрить вредоносное ПО.";"";"ПО работает в Docker-контейнере; вредоносный код может преодолеть границы контейнера через уязвимость службы контейнеризации или воздействие с другого уровня.";"Угроза заключается в возможности нарушителя внедрения вредоносного программного обеспечения в существующий docker-контейнер для дальнейшего деструктивного воздействия на объекты системы.
Данная угроза обусловлена наличием уязвимостей программного кода службы контейнеризации, обеспечиваемого изолированность программной среды и защиты от несанкционированного доступа со стороны нарушителя.
Реализация данной угрозы возможна при условии успешного преодоления вредоносным программным кодом границ docker-контейнера за счет эксплуатации уязвимостей службы контейнеризации и воздействия с других уровней функционирования системы.";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2025-06-04 00:00:00";"2025-06-04 00:00:00";"";"thrlist.xlsx · Sheet · строка 228"
